Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,550x150-400x200,1.0,0.465,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,550x250-500x200,2.0,1.19,0.0,,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,600x350-550x150,1.0,0.723,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,600x350-650x300,3.0,2.635,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,650x300-500x300,1.0,0.776,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,300x200-250x200,8.0,3.476,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,350x200-300x200,8.0,3.964,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,350x300-500x150,1.0,0.644,0.0,Flat on Top,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,400x200-350x200,8.0,4.452,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,400x300-250x250,3.0,1.792,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,500x300-250x300,1.0,0.7,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,500x300-400x300,1.0,0.808,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,500x350-300x350,1.0,0.809,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,550x150-400x200,1.0,0.633,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,600x250-400x200,1.0,0.761,0.0,Flat on Right,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,600x350-400x200,2.0,1.73,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,600x350-550x150,1.0,0.905,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,600x350-650x300,1.0,1.126,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,650x350-400x300,3.0,2.918,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,700x400-550x400,4.0,5.081,0.0,"Flat on Top, Bottom, Right",,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,700x450-650x300,1.0,1.314,0.0,Flat on Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,750x500-700x450,1.0,1.613,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,800x400-550x400,4.0,5.439,0.0,"Flat on Top, Bottom, Right",,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,800x400-700x400,4.0,5.936,0.0,"Flat on Top, Bottom, Right",,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,850x200-600x250,1.0,1.045,0.0,Flat on Right,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,900x300-400x350,1.0,1.148,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x300,1.0,1.251,0.0,Flat on Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x350,3.0,3.854,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-650x350,1.0,1.399,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1330x232-500x250,1.0,1.337,0.0,Equal Taper,,
M_Rectangular Offset - Plain - Flanged: Standard,Duct Wrap,25 mm,200x300-200x300,2.0,0.12,0.0,,,
M_Rectangular Offset - Plain - Flanged: Standard,Duct Wrap,25 mm,200x400-200x400,2.0,0.142,0.0,,,
M_Rectangular Offset - Plain - Flanged: Standard,Duct Wrap,25 mm,250x250-250x250,6.0,0.36,0.0,,,
M_Rectangular Offset - Plain - Flanged: Standard,Duct Wrap,25 mm,250x400-250x400,3.0,0.229,0.0,,,
M_Rectangular Offset - Plain - Flanged: Standard,Duct Wrap,25 mm,250x500-250x500,2.0,0.175,0.0,,,
M_Rectangular Offset - Plain - Flanged: Standard,Duct Wrap,25 mm,300x400-300x400,1.0,0.082,0.0,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,750x500-750x500,1.0,0.0,2.209,,90.00°,0.75
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,800x500-750x500,1.0,1.767,0.0,Flat on Top and Bottom,,
Grille Plenum Box Rectangular Duct With Split: Grille Plenum Box Rectangular Duct With Split,Duct Wrap,25 mm,1150x150-400x150-750x150,1.0,2.309,0.0,,,
Grille Plenum Box Rectangular Duct With Split: Grille Plenum Box Rectangular Duct With Split,Duct Wrap,25 mm,1150x150-750x150-400x150,1.0,1.644,0.0,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,150x800-150x800,2.0,0.0,0.336,,45.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,150x800-150x800,1.0,0.0,0.336,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,300x900-300x900,1.0,0.0,0.848,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x800-350x800,1.0,0.0,0.948,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x850-500x850,1.0,0.0,1.59,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,800x350-800x350,1.0,0.0,2.168,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,800x500-800x500,1.0,0.0,2.45,,90.00°,0.75
M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,1150x150-1150x150,5.0,0.74,0.0,,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,400x350-800x150,1.0,0.679,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,800x350-850x200,1.0,1.008,0.0,Flat on Top and Left,,
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,800x400-800x350,4.0,4.856,0.0,"Flat on Right, Left, Bottom",,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,850x350-300x350,1.0,1.099,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,850x350-650x350,1.0,1.367,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,850x500-800x500,1.0,1.865,0.0,Flat on Top and Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-400x250,1.0,1.131,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-400x300,2.0,2.359,0.0,,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-400x400,1.0,1.262,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x150,1.0,1.106,0.0,Flat on Top,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x250,1.0,1.197,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x300,2.0,2.479,0.0,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1162x216-500x350,3.0,3.894,0.0,,,
Plenum_Box_Supply Unit_Rect Ducts: Plenum_Box_Supply Unit_Rect Ducts,Duct Wrap,25 mm,1162x216-350x250-450x150,1.0,1.948,0.0,,,
Plenum_Box_Supply Unit_Rect Ducts: Plenum_Box_Supply Unit_Rect Ducts,Duct Wrap,25 mm,1162x216-400x300-400x250,1.0,1.921,0.0,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x1700-400x1700,4.0,0.0,7.917,,90.00°,0.75
M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,1700x400-1700x350,2.0,4.879,0.0,"Flat on Right, Left, Bottom",,
