,Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
77,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,250x250-250x250,3.0,0.000 m²,0.000 m²,,,
78,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x150-300x150,2.0,0.000 m²,0.000 m²,,,
79,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x200-300x200,1.0,0.000 m²,0.000 m²,,,
80,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x250-300x250,1.0,0.000 m²,0.000 m²,,,
81,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x300-300x300,6.0,0.000 m²,0.000 m²,,,
82,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,300x350-300x350,1.0,0.000 m²,0.000 m²,,,
83,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,400x200-400x200,1.0,0.000 m²,0.000 m²,,,
84,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,450x200-450x200,4.0,0.000 m²,0.000 m²,,,
85,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,450x250-450x250,3.0,0.000 m²,0.000 m²,,,
86,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,500x250-500x250,3.0,0.000 m²,0.000 m²,,,
87,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,550x400-550x400,4.0,0.000 m²,0.000 m²,,,
88,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Wrap,25 mm,650x300-650x300,4.0,0.000 m²,0.000 m²,,,
89,M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,200x200-200x200,1.0,0.049 m²,0.000 m²,,,
90,M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,400x150-400x150,2.0,0.131 m²,0.000 m²,,,
91,M-H Flange Rectangular Takeoff: Standard,Duct Wrap,25 mm,750x150-750x150,2.0,0.208 m²,0.000 m²,,,
92,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,200x400,1.0,0.000 m²,0.000 m²,,,
93,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,250x250,6.0,0.000 m²,0.000 m²,,,
94,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,250x350,1.0,0.000 m²,0.000 m²,,,
95,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,300x350,5.0,0.000 m²,0.000 m²,,,
96,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,400x200,1.0,0.000 m²,0.000 m²,,,
97,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,400x300,2.0,0.000 m²,0.000 m²,,,
98,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,500x300,1.0,0.000 m²,0.000 m²,,,
99,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,500x350,3.0,0.000 m²,0.000 m²,,,
100,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,650x350,1.0,0.000 m²,0.000 m²,,,
101,M_Rectangular Endcap: Standard,Duct Wrap,25 mm,700x350,4.0,0.000 m²,0.000 m²,,,
102,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,150x300-300x150,1.0,0.287 m²,0.000 m²,Equal Taper,,
103,M_Rectangular Flanged Transition - Length: 300 mm,Duct Wrap,25 mm,200x200-200x150,1.0,0.233 m²,0.000 m²,Flat on Right and Left,,
